model,dataset,layer,condition,top1_feature,top1_abs_delta,top1_signed_delta,mean_feature_abs_change,max_feature_abs_change,feature_stability,num_samples
gemma,squad,29,noise_2_word_dropout,41118,0.167833,0.1645,0.061466,0.167833,99.93,1500
gemma,squad,29,noise_3_token_shuffle,47045,0.071667,0.07,0.029756,0.071667,100.0,1500
gemma,squad,29,noise_4_semantic,4649,0.169917,0.16775,0.06282,0.169917,99.93,1500
gemma,squad,29,noise_5_adversarial,101857,0.092583,0.088083,0.025657,0.092583,99.87,1500
gemma,squad,33,noise_1_character,65044,0.329667,0.328,0.14971,0.329667,100.0,1500
gemma,squad,33,noise_2_word_dropout,97062,0.21525,0.211583,0.088228,0.21525,100.0,1500
gemma,squad,33,noise_3_token_shuffle,60600,0.07975,0.076417,0.036603,0.07975,100.0,1500
gemma,squad,33,noise_4_semantic,108752,0.196833,0.1925,0.079116,0.196833,100.0,1500
gemma,squad,33,noise_5_adversarial,58225,0.112333,-0.104333,0.035436,0.112333,100.0,1500
gemma,ms_marco,19,noise_1_character,70203,0.331125,0.330458,0.128652,0.331125,100.0,1500
gemma,ms_marco,19,noise_2_word_dropout,5923,0.159125,0.157375,0.064308,0.159125,100.0,1500
gemma,ms_marco,19,noise_3_token_shuffle,102348,0.107417,0.10525,0.046716,0.107417,100.0,1500
gemma,ms_marco,19,noise_4_semantic,40934,0.491833,0.491333,0.20227,0.491833,100.0,1500
gemma,ms_marco,19,noise_5_adversarial,24982,0.181917,0.18075,0.05053,0.181917,100.0,1500
gemma,ms_marco,23,noise_1_character,4398,0.419667,0.419167,0.184641,0.419667,97.8,1500
gemma,ms_marco,23,noise_2_word_dropout,99629,0.182833,0.180083,0.063393,0.182833,98.73,1500
gemma,ms_marco,23,noise_3_token_shuffle,78908,0.10825,0.105417,0.048553,0.10825,99.07,1500
gemma,ms_marco,23,noise_4_semantic,55961,0.515542,0.515292,0.183178,0.515542,98.0,1500
gemma,ms_marco,23,noise_5_adversarial,72887,0.285167,0.2845,0.074577,0.285167,98.27,1500
gemma,ms_marco,26,noise_1_character,73000,0.55225,0.55175,0.219867,0.55225,100.0,1500
gemma,ms_marco,26,noise_2_word_dropout,29066,0.2295,0.226167,0.077884,0.2295,100.0,1500
gemma,ms_marco,26,noise_3_token_shuffle,98988,0.11875,0.116417,0.05208,0.11875,100.0,1500
gemma,ms_marco,26,noise_4_semantic,84743,0.483833,0.4825,0.150806,0.483833,100.0,1500
gemma,ms_marco,26,noise_5_adversarial,102336,0.271125,0.269458,0.070277,0.271125,99.93,1500
gemma,ms_marco,29,noise_1_character,35600,0.587833,0.5875,0.282844,0.587833,100.0,1500
gemma,ms_marco,29,noise_2_word_dropout,65783,0.330625,0.329875,0.090485,0.330625,100.0,1500
gemma,ms_marco,29,noise_3_token_shuffle,83649,0.128583,0.12575,0.061801,0.128583,100.0,1500
gemma,ms_marco,29,noise_4_semantic,110634,0.504667,0.502833,0.160438,0.504667,99.93,1500
gemma,ms_marco,29,noise_5_adversarial,5977,0.316417,0.314583,0.086297,0.316417,100.0,1500
gemma,ms_marco,33,noise_1_character,72170,0.654417,0.651083,0.319116,0.654417,100.0,1500
gemma,ms_marco,33,noise_2_word_dropout,11301,0.331,0.329667,0.125688,0.331,100.0,1500
gemma,ms_marco,33,noise_3_token_shuffle,92213,0.13375,0.12775,0.071935,0.13375,100.0,1500
gemma,ms_marco,33,noise_4_semantic,37223,0.561167,-0.558833,0.198854,0.561167,100.0,1500
gemma,ms_marco,33,noise_5_adversarial,39801,0.3395,-0.3375,0.11046,0.3395,100.0,1500
gemma,qtsumm,19,noise_1_character,44171,0.001739,-0.000812,0.000503,0.001739,100.0,1078
gemma,qtsumm,19,noise_2_word_dropout,10418,0.001797,-0.000986,0.00057,0.001797,100.0,1078
gemma,qtsumm,19,noise_3_token_shuffle,0,0.0,0.0,0.0,0.0,100.0,1078
gemma,qtsumm,19,noise_4_semantic,44171,0.001797,-0.00087,0.000516,0.001797,100.0,1078
gemma,qtsumm,19,noise_5_adversarial,19484,0.002725,-0.000522,0.000799,0.002725,100.0,1078
gemma,qtsumm,23,noise_1_character,85254,0.002029,0.000174,0.000575,0.002029,100.0,1078
gemma,qtsumm,23,noise_2_word_dropout,50550,0.001971,-0.000232,0.000653,0.001971,100.0,1078
gemma,qtsumm,23,noise_3_token_shuffle,0,0.0,0.0,0.0,0.0,100.0,1078
gemma,qtsumm,23,noise_4_semantic,31440,0.001797,-0.000986,0.000596,0.001797,99.91,1078
gemma,qtsumm,23,noise_5_adversarial,31440,0.003015,-0.000928,0.00092,0.003015,99.91,1078
gemma,qtsumm,26,noise_1_character,8637,0.003073,-0.000174,0.000833,0.003073,100.0,1078
gemma,qtsumm,26,noise_2_word_dropout,72556,0.003131,0.000116,0.000884,0.003131,100.0,1078
gemma,qtsumm,26,noise_3_token_shuffle,0,0.0,0.0,0.0,0.0,100.0,1078
gemma,qtsumm,26,noise_4_semantic,21122,0.002899,0.000116,0.000844,0.002899,100.0,1078
gemma,qtsumm,26,noise_5_adversarial,11654,0.004696,-0.000986,0.00132,0.004696,100.0,1078
gemma,qtsumm,29,noise_1_character,46445,0.003421,-0.001333,0.001008,0.003421,99.91,1078
gemma,qtsumm,29,noise_2_word_dropout,34479,0.003885,-0.001333,0.001069,0.003885,100.0,1078
gemma,qtsumm,29,noise_3_token_shuffle,0,0.0,0.0,0.0,0.0,100.0,1078
gemma,qtsumm,29,noise_4_semantic,46445,0.003247,-0.001391,0.001017,0.003247,99.91,1078
gemma,qtsumm,29,noise_5_adversarial,7702,0.00545,-0.00058,0.001589,0.00545,99.91,1078
gemma,qtsumm,33,noise_1_character,74718,0.004754,-0.00058,0.001371,0.004754,100.0,1078
gemma,qtsumm,33,noise_2_word_dropout,61373,0.004754,0.001044,0.001516,0.004754,99.91,1078
gemma,qtsumm,33,noise_3_token_shuffle,0,0.0,0.0,0.0,0.0,100.0,1078
gemma,qtsumm,33,noise_4_semantic,55898,0.004522,-0.000812,0.001389,0.004522,99.91,1078
gemma,qtsumm,33,noise_5_adversarial,47355,0.006494,-0.001391,0.002161,0.006494,99.91,1078
