model,dataset,condition,layer,head,entropy_clean,entropy_noisy,entropy_delta,query_mass_clean,query_mass_noisy,query_mass_delta
llama,squad,noise_1_character,2,18,0.4231896594166756,0.41656637042760847,-0.006623288989067078,0.08242906928062439,0.06560882925987244,-0.016820240020751952
llama,squad,noise_1_character,2,19,1.9928387522697448,1.998066061735153,0.005227309465408325,0.14987030029296874,0.17203426361083984,0.022163963317871092
llama,squad,noise_1_character,2,20,0.23404144793748854,0.234574780613184,0.0005333326756954193,0.01788717033341527,0.018583236448466777,0.000696066115051508
llama,squad,noise_1_character,2,21,0.026044865790754556,0.02549541755579412,-0.0005494482349604369,0.0006678016929072328,0.0007808488939190283,0.00011304720101179555
llama,squad,noise_1_character,2,22,0.1896857351064682,0.18881693184375764,-0.0008688032627105713,0.009138232469558716,0.010709114861674607,0.001570882392115891
llama,squad,noise_1_character,2,23,0.11776657365262508,0.11664599440991878,-0.0011205792427062989,0.0014837520837318152,0.001576231245417148,9.247916168533265e-05
llama,squad,noise_1_character,2,24,0.6297554820775986,0.6289856359362602,-0.0007698461413383484,0.023823142051696777,0.028767704963684082,0.004944562911987305
llama,squad,noise_1_character,2,25,0.2246825460344553,0.2220176625996828,-0.0026648834347724913,0.007513639982789755,0.008771852985955775,0.00125821300316602
llama,squad,noise_1_character,2,26,0.3487854927778244,0.3459251061081886,-0.0028603866696357725,0.06427794694900513,0.05960058718919754,-0.0046773597598075865
llama,squad,noise_1_character,2,27,0.3122698649764061,0.3119837909936905,-0.00028607398271560667,0.020248574018478394,0.018080878257751464,-0.002167695760726929
llama,squad,noise_1_character,2,28,0.41242830753326415,0.418218831717968,0.005790524184703827,0.006536036357283592,0.0060223530977964405,-0.0005136832594871521
llama,squad,noise_1_character,2,29,0.4819888710975647,0.47837713807821275,-0.003611733019351959,0.007800668478012085,0.010395699739456176,0.002595031261444092
llama,squad,noise_1_character,2,30,0.3867000833153725,0.3963959164917469,0.009695833176374435,0.0009867769666016101,0.0009480973705649376,-3.8679596036672594e-05
llama,squad,noise_1_character,2,31,0.6606540143489837,0.6607482209801674,9.420663118362427e-05,0.004006532859057188,0.003200520109385252,-0.000806012749671936
llama,squad,noise_1_character,3,0,1.473125860095024,1.4612915009260177,-0.011834359169006348,0.0684262603521347,0.07509244084358216,0.0066661804914474486
llama,squad,noise_1_character,3,1,0.8654020607471467,0.9215030461549759,0.05610098540782928,0.06208046674728394,0.07960448265075684,0.0175240159034729
llama,squad,noise_1_character,3,2,0.9212971732020379,0.9049949005246163,-0.01630227267742157,0.008721271157264709,0.00937226414680481,0.0006509929895401001
llama,squad,noise_1_character,3,3,0.39238148629665376,0.4015969216823578,0.009215435385704041,0.026256996393203735,0.02847280502319336,0.002215808629989624
llama,squad,noise_1_character,3,4,0.22593072354793547,0.22847239896655083,0.0025416754186153414,0.0022405881434679033,0.0018723918125033378,-0.00036819633096456527
